FR0010307819;03/06/2019;1.34;1.85
FR0000133308;04/06/2019;0.40;
FR0000125338;05/06/2019;1.70;1.51
FR0000052292;07/06/2019;3.05;
FR0000125007;10/06/2019;1.33;3.88
FR0000120271;11/06/2019;0.64;
NL0000226223;17/06/2019;0.05;
FR0000131906;18/06/2019;3.55;10.07
FR0000120172;20/06/2019;0.46;3.01
FR0000130577;25/06/2019;2.12;5.30
